Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-06-13,NVDA,BUY,1,15.62698459625244,151.53760433197021,{'NVDA': 837},13231.323711395262
2022-06-30,NVDA,BUY,1,15.139609336853027,136.3979949951172,{'NVDA': 838},12823.390619277954
2022-09-02,NVDA,BUY,1,13.62954330444336,122.76845169067383,{'NVDA': 839},11557.955284118652
2022-09-26,NVDA,BUY,1,12.215987205505373,110.55246448516846,{'NVDA': 840},10371.981717109682
2023-01-19,NVDA,SELL,840,16.7528133392334,14182.915669441223,{},14182.915669441223
2023-01-20,NVDA,BUY,28,17.82603645324707,13683.786648750305,{'NVDA': 28},14182.915669441223
2023-01-23,NVDA,SELL,28,19.179048538208008,14220.80000782013,{},14220.80000782013
2023-02-10,NVDA,BUY,23,21.24954414367676,13732.060492515564,{'NVDA': 23},14220.80000782013
2023-02-13,NVDA,BUY,22,21.772159576416016,13253.072981834412,{'NVDA': 45},14232.820162773132
2023-02-14,NVDA,BUY,21,22.954301834106445,12771.032643318176,{'NVDA': 66},14286.016564369202
2023-02-15,NVDA,BUY,21,22.74745178222656,12293.336155891418,{'NVDA': 87},14272.36446094513
2023-02-16,NVDA,SELL,87,21.98600959777832,14206.118990898132,{},14206.118990898132
2023-02-17,NVDA,BUY,23,21.372453689575195,13714.552556037903,{'NVDA': 23},14206.118990898132
2023-02-21,NVDA,SELL,23,20.639986038208008,14189.272234916687,{},14189.272234916687
2023-02-22,NVDA,BUY,24,20.738916397094727,13691.538241386414,{'NVDA': 24},14189.272234916687
2023-02-23,NVDA,SELL,24,23.64679718017578,14259.061373710632,{},14259.061373710632
2023-03-14,NVDA,BUY,20,24.04959297180176,13778.069514274597,{'NVDA': 20},14259.061373710632
2023-03-15,NVDA,SELL,20,24.214502334594727,14262.359560966492,{},14262.359560966492
2023-03-16,NVDA,BUY,19,25.526771545410156,13777.350901603699,{'NVDA': 19},14262.359560966492
2023-03-17,NVDA,BUY,19,25.710670471191406,13288.848162651062,{'NVDA': 38},14265.853640556335
2023-03-20,NVDA,SELL,38,25.885570526123047,14272.499842643738,{},14272.499842643738
2023-03-31,NVDA,BUY,18,27.761524200439453,13772.792407035828,{'NVDA': 18},14272.499842643738
2023-04-03,NVDA,SELL,18,27.949419021606445,14275.881949424744,{},14275.881949424744
2023-04-13,NVDA,BUY,18,26.44825553894043,13799.813349723816,{'NVDA': 18},14275.881949424744
2023-04-14,NVDA,SELL,18,26.743091583251953,14281.188998222351,{},14281.188998222351
2023-04-26,NVDA,BUY,18,26.940982818603516,13796.251307487488,{'NVDA': 18},14281.188998222351
2023-04-27,NVDA,BUY,18,27.210832595825195,13306.456320762634,{'NVDA': 36},14286.046294212341
2023-04-28,NVDA,BUY,18,27.73354148864746,12807.25257396698,{'NVDA': 54},14304.863814353943
2023-05-01,NVDA,BUY,17,28.893892288208008,12316.056405067444,{'NVDA': 71},14367.522757530212
2023-05-02,NVDA,BUY,17,28.19428443908691,11836.753569602966,{'NVDA': 88},14317.850600242615
2023-05-03,NVDA,BUY,17,27.78651237487793,11364.382859230042,{'NVDA': 105},14281.966658592224
2023-05-04,NVDA,BUY,18,27.54664421081543,10868.543263435364,{'NVDA': 123},14256.780501365662
2023-05-05,NVDA,BUY,17,28.664018630981445,10381.25494670868,{'NVDA': 140},14394.217555046082
2023-05-08,NVDA,BUY,17,29.134756088256836,9885.964093208313,{'NVDA': 157},14460.120799064636
