Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-03-23,TSLA,BUY,1,333.03668212890625,15715.66987991333,"{'JNJ': 6, 'NVDA': 37, 'AMZN': 3, 'BRK-B': 1, 'GOOGL': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1}",19930.320909500122
2022-03-23,V,BUY,2,210.1273498535156,15295.415180206299,"{'JNJ': 6, 'NVDA': 37, 'AMZN': 3, 'BRK-B': 1, 'GOOGL': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1, 'V': 2}",19930.320909500122
2022-03-24,AMZN,SELL,3,163.64950561523438,15786.363697052002,"{'JNJ': 6, 'NVDA': 37, 'BRK-B': 1, 'GOOGL': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1, 'V': 2}",19931.0454120636
2022-03-24,BRK-B,SELL,1,352.3699951171875,16138.73369216919,"{'JNJ': 6, 'NVDA': 37, 'GOOGL': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1, 'V': 2}",19935.255403518677
2022-03-24,GOOGL,SELL,3,141.06065368652344,16561.91565322876,"{'JNJ': 6, 'NVDA': 37, 'META': 2, 'MSFT': 1, 'TSLA': 1, 'V': 2}",19945.109224319458
2022-03-24,JNJ,BUY,3,161.6702423095703,16076.904926300049,"{'JNJ': 9, 'NVDA': 37, 'META': 2, 'MSFT': 1, 'TSLA': 1, 'V': 2}",19950.091157913208
2022-03-24,META,SELL,2,218.7344512939453,16514.37382888794,"{'JNJ': 9, 'NVDA': 37, 'MSFT': 1, 'TSLA': 1, 'V': 2}",19962.26465034485
2022-03-24,MSFT,SELL,1,297.02545166015625,16811.399280548096,"{'JNJ': 9, 'NVDA': 37, 'TSLA': 1, 'V': 2}",19966.767457962036
2022-03-24,NVDA,SELL,37,28.108049392700195,17851.397108078003,"{'JNJ': 9, 'TSLA': 1, 'V': 2}",20059.720670700073
2022-03-24,TSLA,BUY,1,337.97332763671875,17513.423780441284,"{'JNJ': 9, 'TSLA': 2, 'V': 2}",20064.657316207886
2022-03-24,V,SELL,2,212.7015838623047,17938.826948165894,"{'JNJ': 9, 'TSLA': 2}",20069.805784225464
2022-03-25,GOOGL,BUY,3,141.16127014160156,17515.34313774109,"{'JNJ': 9, 'TSLA': 2, 'GOOGL': 3}",20069.805784225464
2022-03-25,JNJ,SELL,9,163.2201385498047,18984.32438468933,"{'TSLA': 2, 'GOOGL': 3}",20083.754850387573
2022-03-25,MSFT,BUY,1,296.61517333984375,18687.709211349487,"{'TSLA': 2, 'GOOGL': 3, 'MSFT': 1}",20083.754850387573
2022-03-25,NVDA,BUY,18,27.650733947753903,18189.996000289917,"{'TSLA': 2, 'GOOGL': 3, 'MSFT': 1, 'NVDA': 18}",20083.754850387573
2022-03-25,TSLA,BUY,1,336.8800048828125,17853.115995407104,"{'TSLA': 3, 'GOOGL': 3, 'MSFT': 1, 'NVDA': 18}",20081.56820487976
2022-03-28,GOOGL,BUY,3,140.944580078125,17430.28225517273,"{'TSLA': 3, 'GOOGL': 6, 'MSFT': 1, 'NVDA': 18}",20080.91813468933
2022-03-28,MSFT,SELL,1,303.4718933105469,17733.754148483276,"{'TSLA': 3, 'GOOGL': 6, 'NVDA': 18}",20087.774854660034
2022-03-28,NVDA,BUY,17,28.17694854736328,17254.7460231781,"{'TSLA': 3, 'GOOGL': 6, 'NVDA': 35}",20097.246717453003
2022-03-28,TSLA,SELL,3,363.9466552734375,18346.585988998413,"{'GOOGL': 6, 'NVDA': 35}",20178.446668624878
2022-03-29,BRK-B,BUY,1,355.1199951171875,17991.465993881226,"{'GOOGL': 6, 'NVDA': 35, 'BRK-B': 1}",20178.446668624878
2022-03-29,GOOGL,SELL,6,141.9907684326172,18843.41060447693,"{'NVDA': 35, 'BRK-B': 1}",20184.72379875183
2022-03-29,JNJ,BUY,3,163.97665405273438,18351.480642318726,"{'NVDA': 35, 'BRK-B': 1, 'JNJ': 3}",20184.72379875183
2022-03-29,NVDA,SELL,35,28.613290786743164,19352.945819854736,"{'BRK-B': 1, 'JNJ': 3}",20199.995777130127
2022-03-30,AMZN,BUY,3,166.30099487304688,18854.042835235596,"{'BRK-B': 1, 'JNJ': 3, 'AMZN': 3}",20199.995777130127
2022-03-30,BRK-B,SELL,1,357.6099853515625,19211.65282058716,"{'JNJ': 3, 'AMZN': 3}",20202.485767364502
